Station Code,Latitude,Longitude,Start,End,Data Center(s)
E146,42.759533,-2.632685,2011-02-10,2014-04-23,ORFEUS
E147,42.790848,-2.007747,2010-11-10,2013-04-23,ORFEUS
E148,42.805099,-1.01928,2011-01-19,2013-04-25,ORFEUS
E149,42.763652,-0.517495,2011-03-04,2013-11-19,ORFEUS
E150,43.152191,-8.4951,2011-04-14,2013-07-29,ORFEUS
E151,43.30814,-7.86562,2011-03-02,2013-07-30,ORFEUS
E152,43.270012,-6.376533,2011-01-20,2014-02-18,ORFEUS
E153,43.229229,-5.722659,2011-03-31,2014-02-18,ORFEUS
E154,43.351925,-4.601503,2011-01-17,2014-04-08,ORFEUS
E155,43.24485,-3.998724,2010-11-24,2014-04-29,ORFEUS
E156,43.138897,-2.755862,2011-02-10,2014-04-22,ORFEUS
E157,43.170689,-2.128281,2011-01-20,2013-11-29,ORFEUS
E158,42.660767,0.190612,2011-05-11,2012-08-02,ORFEUS
E908,42.094021,-8.738545,2012-08-08,2013-07-31,ORFEUS
E920,41.732666,1.276701,2011-09-09,2012-09-18,ORFEUS
E932,38.14961,-3.47078,2009-02-12,2009-09-15,ORFEUS
E961,39.66016,-3.33261,2009-09-25,2010-12-10,ORFEUS
E992,41.078419,-3.545136,2011-12-14,2013-07-12,ORFEUS
E994,40.960941,-1.400392,2011-01-27,2013-06-04,ORFEUS
ECHE,39.5896,-0.96897,2009-07-18,2010-10-19,ORFEUS
EHUE,37.81354,-2.59397,2007-04-17,2009-06-25,ORFEUS
ELOJ,37.14642,-4.15405,2007-04-18,2009-06-29,ORFEUS
ELUQ,37.55932,-4.26797,2007-04-19,2009-06-22,ORFEUS
EVIA,38.67321,-2.50378,2009-07-09,2010-10-23,ORFEUS
EZAM,42.148186,-8.696761,2010-12-23,2012-08-07,ORFEUS
LIJA,36.90612,-5.40376,2007-02-22,2009-07-10,ORFEUS
M001,33.92926,-6.75604,2007-11-27,2010-05-07,ORFEUS
M002,35.37039,-5.97124,2007-11-20,2010-03-07,ORFEUS
M004,34.79183,-6.24977,2007-11-20,2010-03-07,ORFEUS
M005,35.02475,-5.40309,2007-11-13,2010-06-24,ORFEUS
M006,34.93837,-4.77512,2007-11-13,2010-05-27,ORFEUS
M007,34.75614,-3.80099,2007-11-10,2010-07-22,ORFEUS
